prayer,date_local,time_local,utc_offset,lat,lng,elevation_m,source,notes
fajr,2018-04-14,04:29,7.0,-7.65,107.692,680,BRIN multistation SQM 2018 (GRT),Per-night SQM observation; station GRT; Garut West Java Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-06-20,05:00,9.0,1.1774,136.101,10,BRIN multistation SQM 2018 (BIK),Per-night SQM observation; station BIK; Biak Papua Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-07-12,04:58,9.0,1.1774,136.101,10,BRIN multistation SQM 2018 (BIK),Per-night SQM observation; station BIK; Biak Papua Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-07-18,05:01,9.0,1.1774,136.101,10,BRIN multistation SQM 2018 (BIK),Per-night SQM observation; station BIK; Biak Papua Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-08-10,04:50,9.0,1.1774,136.101,10,BRIN multistation SQM 2018 (BIK),Per-night SQM observation; station BIK; Biak Papua Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-09-08,04:34,9.0,1.1774,136.101,10,BRIN multistation SQM 2018 (BIK),Per-night SQM observation; station BIK; Biak Papua Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-09-09,04:36,9.0,1.1774,136.101,10,BRIN multistation SQM 2018 (BIK),Per-night SQM observation; station BIK; Biak Papua Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-09-12,04:34,9.0,1.1774,136.101,10,BRIN multistation SQM 2018 (BIK),Per-night SQM observation; station BIK; Biak Papua Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-10-07,04:16,9.0,1.1774,136.101,10,BRIN multistation SQM 2018 (BIK),Per-night SQM observation; station BIK; Biak Papua Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-10-21,04:21,9.0,1.1774,136.101,10,BRIN multistation SQM 2018 (BIK),Per-night SQM observation; station BIK; Biak Papua Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
fajr,2018-11-06,04:39,9.0,1.1774,136.101,10,BRIN multistation SQM 2018 (BIK),Per-night SQM observation; station BIK; Biak Papua Indonesia; inflection-point Fajr detection; moonless nights only; Damanhuri & Mukarram LAPAN 2022 dataset
