prayer,date_local,time_local,hours_from_midnight,target_angle,sqm_at_crossing,lat,lng,elevation_m,utc_offset,source,notes
fajr,2021-09-15,04:33,4.5667,16.51,22.073,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=16.51°; SQM at crossing=22.073
fajr,2021-09-15,04:27,4.465,18.0,22.163,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=22.163
fajr,2021-09-16,04:33,4.5548,16.51,21.985,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=16.51°; SQM at crossing=21.985
fajr,2021-09-16,04:27,4.4533,18.0,22.057,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=22.057
fajr,2021-09-17,04:32,4.5417,16.51,22.057,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=16.51°; SQM at crossing=22.057
fajr,2021-09-17,04:26,4.4404,18.0,22.15,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=22.15
fajr,2021-09-18,04:31,4.53,16.51,21.96,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=16.51°; SQM at crossing=21.96
fajr,2021-09-18,04:25,4.4296,18.0,21.889,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.889
fajr,2021-10-13,04:10,4.175,18.0,21.735,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.735
fajr,2021-10-15,04:09,4.1575,18.0,21.676,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.676
fajr,2021-10-16,04:08,4.1467,18.0,21.48,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.48
fajr,2021-10-17,04:08,4.135,18.0,21.74,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.74
fajr,2021-11-09,03:58,3.9765,18.0,21.7,-8.65,124.08,1600.0,8.0,"BRIN CC0 SQM dataset, Mount Timau NTT Indonesia (data.brin.go.id hdl:20.500.12690/RIN/A5XCJB)",Pristine site 21.86 mpsas; 1600m; per-night SQM time series; target=18.0°; SQM at crossing=21.7
